GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
assignment_2,sdc.a2,VelocityLayout,4,76,0,0,3,20,1,5,1,5
assignment_2,sdc.a2,MemAppender,5,217,0,16,3,59,1,22,1,14
